season,opponent,result,unc,opp,pointspread,refone,reftwo,refthree
2017-18,Texas A&M,L,65,85,-7,Pat Driscoll,Michael Irving,Eric Curry
2017-18,Lipscomb,W,84,66,-22,Lamont Simpson,Tony Henderson,Bill McCarthY
2017-18,UVA,L,63,71,3.5,Jamie Luckie,Ron Groover,Tim Nestor
2017-18,Duke,W,74,69,4,Mike Eades,Ted Valentine,Bert Smith
2017-18,Miami,W,82,65,-6,Ron Groover,Bill Covington,Raymond Styons
2017-18,Syracuse,W,78,59,-7.5,Roger Ayers,Clarence Armstong,Bert Smith
2017-18,Duke,L,64,74,7.5,Roger Ayers,Mike Eades,Raymond Styons
2017-18,Miami,L,88,91,-10,Ron Groover,Michael Stephens,James Breeding
2017-18,Syracuse,W,78,74,-4.5,Tim Nestor,Mike Stuart,Joe DeRosa
2017-18,Louisville,W,93,76,-1,Mike Eades,Ted Valentine,Jeffrey Anderson
2017-18,Notre Dame,W,83,66,-10,Roger Ayers,Michael Stephens,Doug Shows
2017-18,NC State,W,96,89,-4,James Breeding,Keith Kimble,Les Jones
2017-18,Duke,W,82,78,-1.5,Jeff Clark,Jamie Luckie,Ron Groover
2017-18,Pittsburgh,W,96,65,-23.5,Lee Cassell,Bert Smith,Don Daily
2017-18,Clemson,L,78,82,-2,Roger Ayers,John Higgins,Doug Sirmons
2017-18,NC State,L,91,95,-12.5,Mike Eades,Jamie Luckie,A.J. Desai
2017-18,Virginia Tech,L,69,80,-3.5,Michael Stephens,Mike Roberts,Doug Shows
2017-18,Georgia Tech,W,80,66,-13.5,Ted Valentine,Bill Covington Jr.,Jeb Hartness
2017-18,Clemson,W,87,79,-7.5,Mike Eades,Les Jones,Lee Cassell
2017-18,Notre Dame,W,69,68,-5,Jamie Luckie,Ed Corbett,John Gaffney
2017-18,Boston College,W,96,66,-14,John Higgins,Tim Nestor,Jeffrey Anderson
2017-18,UVA,L,49,61,4.5,Roger Ayers,Les Jones,Pat Driscoll
2017-18,Florida State,L,80,81,1,Ted Valentine,Bill Covington Jr.,Brian O'Connell
2017-18,Wake Forest,W,73,69,-14,Ron Groover,Tim Nestor,Lee Cassell
2017-18,Ohio State,W,86,72,-7.5,Tom Eades,Pat Evans,Roger Ayers
2017-18,Wofford,L,75,79,-25,Ted Valentine,Mike Eades,Bill Covington Jr.
2017-18,Tennessee,W,78,73,1,Pat Adams,Don Daily,Jamie Luckie
2017-18,Western Carolina,W,104,61,-32,Tim Clougherty,Jeb Hartness,Tony Greene
2017-18,Tulane,W,97,73,-20,Les Jones,Bert Smith,Tim Nestor
2017-18,Davidson,W,85,75,-10.5,Ted Valentine,Ron Groover,Lee Cassell
2017-18,Michigan,W,86,71,-9,Roger Ayers,Mike Eades,Pat Driscoll
2017-18,Michigan State,L,45,63,2,Michael Stephens,Keith Kimble,Chris Rastatter
2017-18,Arkansas,W,87,68,-4.5,Roger Ayers,Randy McCall,A.J. Desai
2017-18,Portland,W,102,78,-26,Ted Valentine,Brian Dorsey,Kelly Pfeifer
2017-18,Stanford,W,96,72,-7,David Hall,Keith Kimble,Randy McCall
2017-18,Bucknell,W,93,81,,Les Jones,Jeff Clark,Raymond Styons
2017-18,Northern Iowa,W,86,69,-15,Lee Cassell,Tim Comer,A.J. Desai
2016-17,Gonzaga,W,71,65,-1,Mike Eades,Verne Harris,Michael Stephens
2016-17,Oregon,W,77,76,-4,Tony Padilla,Ted Valentine,Ron Groover
2016-17,Kentucky,W,75,73,-2,John Higgins,Keith Kimble,Mike Reed
2016-17,Butler,W,92,80,-7,Doug Shows,Lamar Simpson,Joe Lindsay
2016-17,Arkansas,W,72,65,-11.5,Bo Boroski,Lamont Simpson,Darron George
2016-17,Texas Southern,W,103,64,-26.5,Mike Reed,Paul Faia,Les Jones
2016-17,Duke,L,83,93,-4,Brian Dorsey,Bill Covington Jr.,Ron Groover
2016-17,Miami,W,78,53,-8.5,Roger Ayers,Tim Nestor,Jerry Heater
2016-17,Duke,W,90,83,-7,Ron Groover,Tim Nestor,Les Jones
2016-17,UVA,L,43,53,-3.5,Mike Roberts,Doug Shows,Tony Chiazza
2016-17,Pittsburgh,W,85,67,-9,Mike Eades,James Breeding,Jeff Clark
2016-17,Louisville,W,74,63,-7.5,Ron Groover,Pat Driscoll,John Gaffney
2016-17,UVA,W,65,41,-6,Brian O'Connell,Tim Clougherty,Doug Sirmons
2016-17,NC State,W,97,73,-11,Les Jones,James Breeding,Bert Smith
2016-17,Duke,L,78,86,2.5,Roger Ayers,Mike Eades,Mike Roberts
2016-17,Notre Dame,W,83,76,-9,Jamie Luckie,Bill Covington Jr.,Clarence Armstrong
2016-17,Pittsburgh,W,80,78,-19,Ted Valentine,Lee Cassell,Lamar Simpson
2016-17,Miami,L,62,77,-5.5,Ron Groover,Sean Hull,John Gaffney
2016-17,Virginia Tech,W,91,72,-15.5,Mike Eades,Roger Ayers,Mike Roberts
2016-17,Boston College,W,90,82,-18,Ed Corbett,Tony Greene,Brian O'Connell
2016-17,Syracuse,W,85,68,-14.5,Ron Groover,John Gaffney,Doug Shows
2016-17,Florida State,W,96,83,-8.5,Roger Ayers,Lee Cassell,Tony Chiazza
2016-17,Wake Forest,W,93,87,-8.5,Mike Eades,Tim Comer,Brian O'Connell
2016-17,NC State,W,107,56,-13,Ron Groover,Keith Kimble,Matt Potter
2016-17,Clemson,W,89,86,-2.5,Tim Nestor,Lee Cassell,Jeff Clark
2016-17,Georgia Tech,L,63,75,-17,Brian Dorsey,Bill Covington Jr.,Tim Clougherty
2016-17,Monmouth,W,102,74,-18.5,Les Jones,Doug Sirmons,Jeb Hartness
2016-17,Northern Iowa,W,85,42,-18.5,Bert Smith,Lee Cassell,Brent Hampton
2016-17,Kentucky,L,100,103,1,Roger Ayers,David Hall,Verne Harris
2016-17,Tennessee,W,73,71,-19.5,Mike Eades,Jeff Clark,Doug Shows
2016-17,Davidson,W,83,74,-16,Ted Valentine,Ron Groover,Keith Kimble
2016-17,Radford,W,95,50,,Michael Stephens,Tim Nestor,Tim Clougherty
2016-17,Indiana,L,67,76,-5.5,Terry Wymer,Bo Boroski,Gene Steratore
2016-17,Wisconsin,W,71,56,-4.5,Ted Valentine,Chris Rastatter,Earl Walton
2016-17,Oklahoma State,W,107,75,-9,Ted Valentine,Tom Eades,Donnie Eppley
2016-17,Chaminade,W,104,61,-31.5,Chris Rastatter,Bob Staffen,Donnie Eppley
2016-17,Hawai'i,W,83,68,-23,Gregory Nixon,Tommy Nunez,Daryl Gelinas
2016-17,Long Beach State,W,93,67,-21,Roger Ayers,John Higgins,Les Jones
2016-17,Chattanooga,W,97,57,-15.5,Ted Valentine,Raymond Styons,Tim Comer
2016-17,Tulane,W,95,75,-20,John Hampton,Doug Sirmons,Jeb Hartness
2015-16,Villanova,L,74,77,-2,Michael Stephens,John Higgins,Terry Wymer
2015-16,Syracuse,W,83,66,-10,Mike Eades,Roger Ayers,Jeff Clark
2015-16,Notre Dame,W,88,74,-9.5,Michael Stephens,Ed Corbett,Tom Eades
2015-16,Indiana,W,101,86,-5,Pat Adams,Joe DeRosa,Lee Cassell
2015-16,Providence,W,85,66,-11,Doug Sirmons,John Gaffney,Eric Curry
2015-16,Florida Gulf-Coast,W,83,67,-22.5,Jeff Clark,Mike Greenstein,Donnie Eppley
2015-16,UVA,W,61,57,-2.5,Bryan Kersey,Mike Eades,Roger Ayers
2015-16,Notre Dame,W,78,47,-7,Les Jones,Brian Dorsey,Jerry Heater
2015-16,Pittsburgh,W,88,71,-7.5,Mike Eades,Sean Hull,Tim Comer
2015-16,Duke,W,76,72,-2.5,Roger Ayers,Tim Nestor,John Gaffney
2015-16,Syracuse,W,75,70,-13,Mike Eades,Jeffrey Anderson,Michael Stephens
2015-16,UVA,L,74,79,2.5,Bryan Kersey,Joe Lindsay,Tim Clougherty
2015-16,NC State,W,80,68,-8,Bryan Kersey,Jerry Heater,Pat Driscoll
2015-16,Miami,W,96,71,-7.5,John Gaffney,Sean Hull,Bill Covington Jr.
2015-16,Duke,L,73,74,-8.5,Mike Eades,Les Jones,Michael Stephens
2015-16,Pittsburgh,W,85,64,-10.5,Brian Dorsey,Bryan Kersey,Pat Driscoll
2015-16,Boston College,W,68,65,-20.5,Tim Comer,Jamie Luckie,Michael Stephens
2015-16,Notre Dame,L,76,80,-2.5,Roger Ayers,Jerry Heater,Tim Nestor
2015-16,Louisville,L,65,71,1.5,Bryan Kersey,Mike Eades,Bill Covington Jr.
2015-16,Boston College,W,89,62,-26.5,Brian Dorsey,Raymond Styons,Louie Andrakakos
2015-16,Virginia Tech,W,75,70,-12.5,Tim Nestor,Sean Hull,Brian O'Connell
2015-16,Wake Forest,W,83,68,-19,Jamie Luckie,Tim Comer,Tim Kelly
2015-16,NC State,W,67,55,-15.5,Mike Eades,Sean Hull,Terry Wymer
2015-16,Syracuse,W,84,73,-7.5,Earl Walton,Bryan Kersey,Roger Ayers
2015-16,Florida State,W,106,90,-3.5,Mike Eades,Terry Wymer,Mike Roberts
2015-16,Georgia Tech,W,86,68,-14.5,Brian Dorsey,Wally Rutecki,Clarence Armstrong
2015-16,Clemson,W,80,69,-15,Tim Nestor,Bill Covington Jr.,Tim Kelly
2015-16,UNC-G,W,96,63,-27.5,Les Jones,Jerry Heater,Roger Ayers
2015-16,Appalachian State,W,94,70,-32,Brian Dorsey,Bill McCarthy,Tony Greene
2015-16,UCLA,W,89,76,-8,Ed Corbett,Pat Driscoll,Lamar Simpson
2015-16,Tulane,W,96,72,-24.5,Louie Andrakakos,Doug Shows,Clarence Armstrong
2015-16,Texas,L,82,84,-6.5,Kelly Self,Michael Stephens,Pat Adams
2015-16,Davidson,W,98,65,-15,Bryan Kersey,Jerry Heater,Tim Clougherty
2015-16,Maryland,W,89,81,-7.5,Michael Stephens,Pat Driscoll,Mike Roberts
2015-16,Kansas State,W,80,70,-10.5,Pat Adams,Mark Whitehead,Ray Natili
2015-16,Northwestern,W,80,69,-11,Mike Stuart,Gerry Pollard,Don Daily
2015-16,Northern Iowa,L,67,71,-6.5,Mike Stuart,Gerry Pollard,Don Daily
2015-16,Wofford,W,78,58,-23,Tim Nestor,Louie Andrakakos,Andrew Marotta
2015-16,Fairfield,W,92,65,-24.5,Raymond Styons,Dwayne Gladden,Matt Potter
2015-16,Temple,W,91,67,-9.5,Michael Stephens,Lamar Simpson,Mike Roberts
2014-15,Wisconsin,L,72,79,6,Randall McCall,Lamar Simpson,Brian O'Connell
2014-15,Arkansas,W,87,78,-5,David Hall,Mike Roberts,Bert Smith
2014-15,Harvard,W,67,65,-9.5,Lee Cassell,Mike Sanzere,Jamie Luckie
2014-15,Notre Dame,L,82,90,-3.5,Bryan Kersey,Mike Eades,Brian Dorsey
2014-15,UVA,W,71,67,4.5,Roger Ayers,Raymond Styons,Jerry Heater
2014-15,Louisville,W,70,60,-2.5,Mike Eades,Tim Nestor,Bill Covington Jr.
2014-15,Boston College,W,81,63,-12,Tim Nestor,Sean Hull,Tim Kelly
2014-15,Duke,L,77,84,-1,Bryan Kersey,Brian Dorsey,Sean Hull
2014-15,Georgia Tech,W,81,49,-5.5,Mike Eades,Mike Roberts,Lamar Simpson
2014-15,Miami,W,73,64,-1,Tim Comer,Jamie Luckie,Wally Rutecki
2014-15,NC State,L,46,58,-9.5,Bryan Kersey,Mike Stuart,Raymond Styons
2014-15,Georgia Tech,W,89,60,-11.5,Bryan Kersey,Sean Hull,Sean Casady
2014-15,Duke,L,90,92,8.5,Roger Ayers,Pat Driscoll,Tim Nestor
2014-15,Pittsburgh,L,76,89,-3.5,Tim Clougherty,Jerry Heater,Michael Stephens
2014-15,Boston College,W,79,68,-9.5,Louie Andrakakos,Dwayne Gladden,Jerry Heater
2014-15,UVA,L,64,75,1,Jamie Luckie,Mike Roberts,Pat Driscoll
2014-15,Louisville,L,68,78,5,Brian Dorsey,Bill Covington Jr.,Lamar Simpson
2014-15,Syracuse,W,93,83,-10,Bryan Kersey,Brian Dorsey,Joe Lindsay
2014-15,Florida State,W,78,74,-15.5,Brian O'Connell,Jerry Heater,Terry Wymer
2014-15,Wake Forest,W,87,71,-8,Roger Ayers,Jeffrey Anderson,Michael Stephens
2014-15,Virginia Tech,W,68,53,-21.5,Pat Driscoll,Joe Lindsay,Mike Stuart
2014-15,NC State,W,81,79,-4.5,Jamie Luckie,Brian Dorsey,Tim Nestor
2014-15,Louisville,W,72,71,-3,Roger Ayers,Sean Hull,Mike Roberts
2014-15,Notre Dame,L,70,71,-8,Bryan Kersey,Doug Shows,Joe Lindsay
2014-15,Clemson,W,74,50,-6.5,Mike Eades,Tony Greene,Sean Casady
2014-15,William & Mary,W,86,64,-18,Jamie Luckie,Louie Andrakakos,Andrew Marotta
2014-15,UAB,W,89,58,-24.5,Bryan Kersey,Les Jones,Michael Stephens
2014-15,Ohio State,W,82,74,-1,Roger Ayers,Doug Shows,Michael Stephens
2014-15,UNC-G,W,79,56,-22,Gary Maxwell,Dwayne Gladden,Todd Austin
2014-15,Kentucky,L,70,84,13,Tony Greene,Pat Adams,Doug Shows
2014-15,East Carolina,W,108,64,-23.5,Roger Ayers,Bill Covington Jr.,Lamar Simpson
2014-15,Iowa,L,55,60,-7.5,Brian Dorsey,Tim Nestor,Mike Roberts
2014-15,Florida,W,75,64,-5.5,Gary Maxwell,Don Daily,Bert Smith
2014-15,UCLA,W,78,56,-5,Gary Maxwell,Darron George,Keith Kimble
2014-15,Butler,L,66,74,-9,Mike Roberts,Don Daily,Jeb Hartness
2014-15,Davidson,W,90,72,-13.5,Bryan Kersey,Mike Eades,Doug Shows
2014-15,Robert Morris,W,103,59,-21,Joe Lindsay,Anthony Franklin,Wally Rutecki
2014-15,NC Central,W,76,60,-17,Raymond Styons,Tim Nestor,Jeff Nichols
2013-14,Iowa State,L,83,85,1.5,Tony Greene,Chris Rastatter,Bo Boroski
2013-14,Providence,W,79,77,-4.5,Chris Rastatter,Bo Boroski,Kevin Brill
2013-14,Pittsburgh,L,75,80,0,Karl Hess,Raymond Styons,Brian Dorsey
2013-14,Duke,L,81,93,9.5,Karl Hess,Mike Eades,Ray Natili
2013-14,Notre Dame,W,63,61,-12,Bryan Kersey,Michael Stephens,Mike Stuart
2013-14,Virginia Tech,W,60,56,-10.5,Jamie Luckie,Tim Nestor,Lamar Simpson
2013-14,NC State,W,85,84,-4,Les Jones,Brian Dorsey,Doug Shows
2013-14,Wake Forest,W,105,72,-14,Les Jones,Ray Natili,Dwayne Gladden
2013-14,Duke,W,74,66,2,Bryan Kersey,Pat Driscoll,Ed Corbett
2013-14,Florida State,W,81,75,-1.5,Brian Dorsey,Tony Greene,Brian O'Connell
2013-14,Pittsburgh,W,75,71,-3,Karl Hess,Raymond Styons,Tim Kelly
2013-14,Notre Dame,W,73,62,-1.5,Mike Eades,Brian O'Connell,Jerry Heater
2013-14,Maryland,W,75,63,-8,Karl Hess,Michael Stephens,Mike Stuart
2013-14,NC State,W,84,70,-9.5,Bryan Kersey,Joe Lindsay,Raymond Styons
2013-14,Georgia Tech,W,78,65,-4.5,Brian Dorsey,Sean Hull,Tony Henderson
2013-14,Clemson,W,80,61,-7.5,Karl Hess,Jamie Luckie,Tim Nestor
2013-14,UVA,L,61,76,7,Roger Ayers,Joe Lindsay,Michael Stephens
2013-14,Boston College,W,82,71,-11.5,Tim Nestor,Tim Comer,Bill Covington Jr.
2013-14,Syracuse,L,45,57,8.5,Roger Ayers,Tony Greene,Ed Corbett
2013-14,Miami,L,57,63,-10.5,Bryan Kersey,Brian Dorsey,Gary Maxwell
2013-14,Wake Forest,L,67,73,-6.5,Mike Eades,Mike Roberts,Doug Shows
2013-14,UNC-Wilmington,W,84,51,-21,Tim Nestor,Sean Casady,Jeff Nichols
2013-14,NKU,W,75,60,-27.5,Mike Eades,Sean Hull,Terry Wymer
2013-14,Davidson ,W,87,85,-18,Tim Nestor,Jeff Nichols,Raymond Styons
2013-14,Texas,L,83,86,-10.5,Karl Hess,Les Jones,Bryan Kersey
2013-14,Kentucky,W,82,77,-3,Roger Ayers,Mike Eades,Joe Lindsay
2013-14,UNC-G,W,81,50,-26.5,Les Jones,Mike Roberts,Sean Casady
2013-14,Michigan State,W,79,65,10,Terry Wymer,Lamont Simpson,Pat Driscoll
2013-14,UAB,L,59,63,-7.5,Don Daily,Kevin Fehr,Ron Groover
2013-14,Louisville,W,93,84,10,Bryan Kersey,Brian O'Connell,Brian Dorsey
2013-14,Richmond,W,82,72,-8,Bryan Kersey,Ron Tyburski,Gary Pucino
2013-14,Belmont,L,80,83,-14,Les Jones,Louie Andrakakos,Alan Spainhour
2013-14,Holy Cross,W,62,54,-21.5,Brian Dorsey,Sean Hull,Jeffrey Anderson
2013-14,Oakland,W,84,61,-16.5,Bryan Kersey,Jeremy Moiser,Alan Spainhour
2012-13,Kansas,L,58,70,6.5,Pat Adams,Mike Kitts,Mike Greenstein
2012-13,Villanova,W,78,71,-5,Pat Adams,Mike Greenstein,Deron White
2012-13,Miami,L,77,87,1,Bryan Kersey,Mike Eades,Roger Ayers
2012-13,Maryland,W,79,76,-4.5,Karl Hess,Brian Dorsey,Ray Natili
2012-13,Florida State,W,83,62,-9,Karl Hess,Gary Maxwell,Raymond Styons
2012-13,Duke,L,53,69,-2,Roger Ayers,Les Jones,Tim Nestor
2012-13,Maryland,W,79,68,1,Doug Sirmons,Mike Eades,Joe Lindsay
2012-13,Florida State,W,79,58,-12,Ray Natili,Jamie Luckie,Bryan Kersey
2012-13,Clemson,W,68,59,-4,Karl Hess,Les Jones,Ed Corbett
2012-13,NC State,W,76,65,-6.5,Ray Natili,Doug Sirmons,Gary Maxwell
2012-13,Georgia Tech,W,70,58,-3.5,Jamie Luckie,John Cahill,Roger Ayers
2012-13,UVA,W,93,81,-5,Les Jones,Tim Kelly,Jerry Heater
2012-13,Duke,L,68,73,10.5,Karl Hess,Mike Eades,Bryan Kersey
2012-13,Miami,L,61,87,7.5,Jamie Luckie,Tim Nestor,Gary Maxwell
2012-13,Wake Forest,W,87,62,-14.5,Les Jones,Brian Dorsey,Ed Corbett
2012-13,Virginia Tech,W,72,60,-14.5,Ray Natili,Tim Nestor,Jerry Heater
2012-13,Boston College,W,82,70,-4,Karl Hess,Michael Stephens,Ed Corbett
2012-13,NC State,L,83,91,4,Mike Eades,Mike Stuart,Raymond Styons
2012-13,Georgia Tech,W,79,63,-11,Doug Sirmons,Gary Maxwell,Tim Kelly
2012-13,Maryland,W,62,52,-5.5,Karl Hess,Ray Natili,Tim Nestor
2012-13,Florida State,W,77,72,3,Bryan Kersey,Roger Ayers,Mike Eades
2012-13,Miami,L,59,68,-4,Les Jones,Michael Stephens,Joe Lindsay
2012-13,UVA,L,52,61,3,Karl Hess,Doug Sirmons,John Cahill
2012-13,UNLV,W,79,73,-2,Karl Hess,Ray Natili,Les Jones
2012-13,McNeese State,W,97,63,-25,Brian Dorsey,Jerry Heater,Dwayne Gladden
2012-13,Texas,L,67,85,-4.5,Mark Whitehead,Doug Sirmons,Mike Stuart
2012-13,East Carolina,W,93,87,-16.5,Karl Hess,Bryan Kersey,Jeff Nichols
2012-13,East Tenn. St.,W,78,55,,Gary Maxwell,Brian Shey,Alan Spainhour
2012-13,UAB,W,102,84,-17,Les Jones,Bill Covington Jr.,Alan Spainhour
2012-13,Indiana,L,59,83,11,Mike Kitts,Pat Driscoll,Bo Boroski
2012-13,Chaminade,W,112,70,-21.5,Pat Adams,Bert Smith,Kevin Ferguson
2012-13,Butler,L,71,82,-9,Tim Higgins,Pat Adams,Pat Driscoll
2012-13,Mississippi State,W,95,49,-19,Jim Burr,Pat Driscoll,Ryan Wells
2012-13,Long Beach State,W,78,63,-11.5,Dick Cartmell,Mike Scyphers,Mike Irving
2012-13,Florida Atlantic,W,70,56,-20,Bryan Kersey,Raymond Styons,Andrew Marotta
2012-13,Gardner Webb,W,76,59,,Alan Spainhour,Anthony Franklin,Ron Tyburski
2011-12,Kansas,L,67,80,2,Tony Greene,Doug Shows,James Breeding
2011-12,Ohio,W,73,65,-10.5,Tom Eades,Don Daily,Kelly Self
2011-12,Creighton,W,87,73,-8.5,Pat Driscoll,Mike Stuart,Tom O'Neill
2011-12,Vermont,W,77,58,-16,David Hall,Bill McCarthy,Lee Cassell
2011-12,Florida State,L,82,85,-6,Les Jones,Roger Ayers,Bryan Kersey
2011-12,NC State,W,69,67,-9.5,Ray Natili,Tim Nestor,Brian Dorsey
2011-12,Maryland,W,85,69,-14.5,Roger Ayers,Sean Hull,Ray Natili
2011-12,Duke,W,88,70,-2,Karl Hess,Roger Ayers,Mike Eades
2011-12,Maryland,W,88,64,-18.5,Brian Dorsey,Tim Kelly,Jeff Clark
2011-12,UVA,W,54,51,-3.5,Tim Nestor,Joe Lindsay,Dwayne Gladden
2011-12,NC State,W,86,74,-7,Roger Ayers,Sean Corbin,Ed Corbett
2011-12,Clemson,W,74,52,-11.5,Les Jones,Jim Burr,Dwayne Gladden
2011-12,Miami,W,73,64,-5,Bryan Kersey,Brian Dorsey,Raymond Styons
2011-12,UVA,W,70,52,-9,Sean Hull,Tim Kelly,Jamie Luckie
2011-12,Duke,L,84,85,-6,Bryan Kersey,Tim Nestor,John Cahill
2011-12,Maryland,W,83,74,-12,Les Jones,Sean Corbin,Sean Hull
2011-12,Wake Forest,W,68,53,-16.5,Bryan Kersey,Brian O'Connell,Michael Stephens
